ID,GO
PF3D7_1217200,GO:0034462
PF3D7_1409600,GO:0003924
PF3D7_1115700,GO:0006508
PF3D7_1238600,GO:0006684
PF3D7_1223200,GO:0005634
PF3D7_0613900,GO:0003774
PF3D7_1424100,GO:0022625
PF3D7_0715500,GO:0046961
PF3D7_0205400,GO:0005634
PF3D7_1425900,GO:0006270
PF3D7_0209000,GO:0005886
PF3D7_1216200,GO:0006072
PF3D7_1219300,GO:0046789
PF3D7_0509800,GO:0048015
PF3D7_0416000,GO:0003723
PF3D7_1208000,GO:0020011
PF3D7_0604300,GO:0016020
PF3D7_0200600,GO:0020036
PF3D7_1344300,GO:0016021
PF3D7_1424100,GO:0005840
PF3D7_0808600,GO:0020002
PF3D7_1023600,GO:0005737
PF3D7_0814600,GO:0005524
PF3D7_0800400,GO:0020036
PF3D7_1230400,GO:0070011
PF3D7_1032900,GO:0016779
PF3D7_1212800,GO:0055114
PF3D7_0912000,GO:0020011
PF3D7_0511900,GO:0000166
PF3D7_1404600,GO:0035556
PF3D7_1200800,GO:0020036
PF3D7_1231100,GO:0006886
PF3D7_1114800,GO:0051287
PF3D7_1033800,GO:0006508
PF3D7_0812100,GO:0016020
PF3D7_0518900,GO:0005737
PF3D7_1033700,GO:0006355
PF3D7_1320400,GO:0008233
PF3D7_1311200,GO:0005634
PF3D7_0210100,GO:0005840
PF3D7_1021500,GO:0030490
PF3D7_1348800,GO:0000287
PF3D7_0707600,GO:0016020
PF3D7_1437200,GO:0004748
PF3D7_1225400,GO:0016787
PF3D7_1203200,GO:0005737
PF3D7_1102300,GO:0005737
PF3D7_0617300,GO:0006777
PF3D7_0902500,GO:0004672
PF3D7_1119200,GO:0051082
PF3D7_0930900,GO:0051536
PF3D7_0516100,GO:0008324
PF3D7_1127000,GO:0016311
PF3D7_1111900,GO:0005634
PF3D7_1323300,GO:0008080
PF3D7_1458700,GO:0008360
PF3D7_0912500,GO:0003677
PF3D7_1304100,GO:0051103
PF3D7_1104100,GO:0016192
PF3D7_API01800,GO:0006412
PF3D7_1405800,GO:0006364
